,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year
26,9700000US0622230,129047,69761,9832,-999999999,22579,-999999999,-999999999,19222,34539,57527,96755,56.9,55.5,52.8,-999999999.0,52.7,-999999999.0,-999999999.0,64.5,63.3,55.0,69.4,7.4,5.2,6.1,-999999999.0,9.0,-999999999.0,-999999999.0,13.7,11.9,4.2,6.4,"Lodi Unified School District, California",06,22230,Lodi Unified School District,0622230,2017
27,9700000US0622500,415722,220961,49016,-999999999,60907,-999999999,65617,-999999999,156572,137566,328709,61.5,61.9,58.7,-999999999.0,57.3,-999999999.0,66.2,-999999999.0,65.0,60.5,72.7,6.2,5.1,8.1,-999999999.0,5.8,-999999999.0,8.1,-999999999.0,7.0,4.6,5.6,"Long Beach Unified School District, California",06,22500,Long Beach Unified School District,0622500,2017
28,9700000US0622710,3872722,1998795,378081,24393,461612,-999999999,893323,110389,1891818,1068080,3045809,62.1,62.7,53.7,61.9,60.1,-999999999.0,64.9,66.6,63.6,63.1,73.7,6.4,6.0,10.0,8.9,5.1,-999999999.0,6.2,8.4,6.3,6.0,6.1,"Los Angeles Unified School District, California",06,22710,Los Angeles Unified School District,0622710,2017
29,9700000US0623080,-999999999,56851,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46079,-999999999,-999999999.0,55.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.5,-999999999.0,-999999999.0,3.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.6,-999999999.0,"Lucia Mar Unified School District, California",06,23080,Lucia Mar Unified School District,0623080,2017
30,9700000US0623160,50480,20951,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46106,-999999999,41624,54.3,52.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.1,-999999999.0,63.5,9.2,10.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.4,-999999999.0,8.9,"Lynwood Unified School District, California",06,23160,Lynwood Unified School District,0623160,2017
31,9700000US0623340,67627,39721,-999999999,-999999999,-999999999,-999999999,21319,-999999999,48167,13648,52309,52.9,53.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.1,-999999999.0,53.8,45.8,65.4,9.5,6.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,15.1,-999999999.0,10.6,7.2,8.6,"Madera Unified School District, California",06,23340,Madera Unified School District,0623340,2017
32,9700000US0623610,107162,69251,-999999999,-999999999,13639,-999999999,-999999999,-999999999,46965,37105,81186,53.0,52.7,-999999999.0,-999999999.0,55.7,-999999999.0,-999999999.0,-999999999.0,55.9,50.9,65.3,6.7,7.7,-999999999.0,-999999999.0,4.4,-999999999.0,-999999999.0,-999999999.0,7.3,6.7,6.2,"Manteca Unified School District, California",06,23610,Manteca Unified School District,0623610,2017
33,9700000US0624090,-999999999,39160,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,27633,-999999999,-999999999.0,55.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.6,-999999999.0,-999999999.0,2.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0.9,-999999999.0,"Marysville Joint Unified School District, California",06,24090,Marysville Joint Unified School District,0624090,2017
34,9700000US0624500,60373,10794,-999999999,-999999999,38259,-999999999,-999999999,-999999999,-999999999,7681,48533,67.8,66.2,-999999999.0,-999999999.0,72.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.3,79.0,2.6,2.8,-999999999.0,-999999999.0,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.5,2.6,"Milpitas Unified School District, California",06,24500,Milpitas Unified School District,0624500,2017
35,9700000US0625470,127892,78969,-999999999,-999999999,14413,-999999999,28737,-999999999,104043,6728,95991,58.6,59.0,-999999999.0,-999999999.0,55.4,-999999999.0,58.7,-999999999.0,59.6,43.6,73.1,5.7,6.8,-999999999.0,-999999999.0,2.7,-999999999.0,4.2,-999999999.0,6.3,6.6,5.3,"Montebello Unified School District, California",06,25470,Montebello Unified School District,0625470,2017
36,9700000US0625530,78949,54744,-999999999,-999999999,8777,-999999999,-999999999,-999999999,20538,38694,59221,59.0,59.3,-999999999.0,-999999999.0,63.6,-999999999.0,-999999999.0,-999999999.0,70.3,54.6,70.9,5.8,6.0,-999999999.0,-999999999.0,7.0,-999999999.0,-999999999.0,-999999999.0,4.9,6.1,5.2,"Monterey Peninsula Unified School District, California",06,25530,Monterey Peninsula Unified School District,0625530,2017
37,9700000US0625800,136119,42381,22835,-999999999,-999999999,-999999999,56677,-999999999,79773,20949,108539,58.6,57.7,57.4,-999999999.0,-999999999.0,-999999999.0,60.4,-999999999.0,60.1,55.6,68.5,9.0,5.8,18.3,-999999999.0,-999999999.0,-999999999.0,8.6,-999999999.0,7.3,6.5,8.1,"Moreno Valley Unified School District, California",06,25800,Moreno Valley Unified School District,0625800,2017
38,9700000US0625830,51030,39172,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15459,26963,40336,66.5,65.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.7,64.8,76.7,4.0,4.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.3,3.7,3.8,"Morgan Hill Unified School District, California",06,25830,Morgan Hill Unified School District,0625830,2017
39,9700000US0625860,57258,47003,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,10898,38898,42469,39.9,39.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,45.1,38.1,49.5,14.3,12.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,14.3,13.3,13.7,"Morongo Unified School District, California",06,25860,Morongo Unified School District,0625860,2017
40,9700000US0626370,214482,136836,10492,-999999999,32545,-999999999,-999999999,-999999999,49198,115221,163197,62.6,61.7,45.6,-999999999.0,61.1,-999999999.0,-999999999.0,-999999999.0,68.4,61.7,76.1,4.4,4.5,14.2,-999999999.0,3.9,-999999999.0,-999999999.0,-999999999.0,4.3,3.9,4.2,"Mount Diablo Unified School District, California",06,26370,Mount Diablo Unified School District,0626370,2017
41,9700000US0626640,99594,74467,-999999999,-999999999,8876,-999999999,-999999999,-999999999,31441,54039,72191,63.6,62.8,-999999999.0,-999999999.0,63.7,-999999999.0,-999999999.0,-999999999.0,70.7,60.4,79.1,4.3,4.2,-999999999.0,-999999999.0,2.6,-999999999.0,-999999999.0,-999999999.0,5.6,2.7,4.4,"Napa Valley Unified School District, California",06,26640,Napa Valley Unified School District,0626640,2017
42,9700000US0626910,67366,-999999999,-999999999,-999999999,38085,-999999999,-999999999,-999999999,-999999999,-999999999,53173,65.9,-999999999.0,-999999999.0,-999999999.0,68.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,79.4,3.0,-999999999.0,-999999999.0,-999999999.0,2.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.6,"New Haven Unified School District, California",06,26910,New Haven Unified School District,0626910,2017
43,9700000US0627240,164935,137373,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33406,111238,124231,65.8,64.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,71.0,63.1,79.4,3.1,2.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.8,3.4,2.7,"Newport-Mesa Unified School District, California",06,27240,Newport-Mesa Unified School District,0627240,2017
44,9700000US0627690,101954,38810,-999999999,-999999999,18309,-999999999,38943,-999999999,58651,20932,75937,60.6,59.5,-999999999.0,-999999999.0,64.6,-999999999.0,60.7,-999999999.0,61.6,55.1,75.4,5.8,3.0,-999999999.0,-999999999.0,8.7,-999999999.0,6.4,-999999999.0,6.1,1.0,5.6,"Norwalk-La Mirada Unified School District, California",06,27690,Norwalk-La Mirada Unified School District,0627690,2017
45,9700000US0627720,-999999999,39658,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35687,-999999999,-999999999.0,59.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.8,-999999999.0,-999999999.0,4.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,-999999999.0,"Novato Unified School District, California",06,27720,Novato Unified School District,0627720,2017
46,9700000US0628050,349738,125599,83399,-999999999,60762,-999999999,54594,20525,85994,102545,277854,64.3,72.3,52.8,-999999999.0,57.4,-999999999.0,70.7,66.4,69.1,73.7,75.5,6.8,4.6,12.0,-999999999.0,6.0,-999999999.0,4.7,9.6,5.8,4.0,6.7,"Oakland Unified School District, California",06,28050,Oakland Unified School District,0628050,2017
47,9700000US0628250,115947,75178,-999999999,-999999999,-999999999,-999999999,13071,-999999999,42352,52816,86172,56.7,53.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.9,-999999999.0,62.5,51.2,67.4,6.7,7.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.7,-999999999.0,7.2,6.6,7.1,"Oceanside Unified School District, California",06,28250,Oceanside Unified School District,0628250,2017
48,9700000US0628650,181879,129720,-999999999,-999999999,27678,-999999999,-999999999,-999999999,60798,87351,140268,63.4,62.9,-999999999.0,-999999999.0,60.7,-999999999.0,-999999999.0,-999999999.0,67.4,61.2,75.4,2.8,2.8,-999999999.0,-999999999.0,3.6,-999999999.0,-999999999.0,-999999999.0,1.9,3.1,2.7,"Orange Unified School District, California",06,28650,Orange Unified School District,0628650,2017
49,9700000US0629490,86879,54310,-999999999,-999999999,-999999999,-999999999,26984,-999999999,47935,34839,64422,60.6,59.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.3,-999999999.0,65.3,53.2,73.7,6.9,4.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,11.6,-999999999.0,8.4,4.7,7.3,"Pajaro Valley Joint Unified School District, California",06,29490,Pajaro Valley Joint Unified School District,0629490,2017
50,9700000US0600014,80751,66099,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,42182,30234,60671,49.3,49.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,51.6,47.6,62.7,11.8,12.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,12.2,12.1,8.9,"Hesperia Unified School District, California",06,00014,Hesperia Unified School District,0600014,2017
51,9700000US0600016,61561,43270,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,26693,24683,45840,59.1,59.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.4,56.6,73.0,8.6,8.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.4,5.6,8.0,"Upland Unified School District, California",06,00016,Upland Unified School District,0600016,2017
52,9700000US0600017,62197,52202,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18353,35704,44084,46.8,48.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.7,43.2,63.2,10.8,11.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,14.5,9.3,9.3,"Apple Valley Unified School District, California",06,00017,Apple Valley Unified School District,0600017,2017
53,9700000US0600020,68050,41912,-999999999,-999999999,20087,-999999999,-999999999,-999999999,-999999999,38695,52046,68.0,65.6,-999999999.0,-999999999.0,71.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.4,81.0,2.4,2.3,-999999999.0,-999999999.0,3.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.3,2.5,"Pleasanton Unified School District, California",06,00020,Pleasanton Unified School District,0600020,2017
